Item Name,SNo,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D],Month_File,District,Source_File
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,273,218,55,25,248,13,13,,7,6,6,6,,1,5,2,2,,2,0,1,1,,1,0,7,7,,,7,2,2,,1,1,4,4,,,4,9,9,,8,1,1,1,,0,1,217,162,55,,217,6,6,,,6,5,5,,5,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,690,639,51,421,269,0,0,,0,0,44,44,,0,44,14,14,,0,14,0,0,,0,0,33,33,,,33,5,5,,0,5,39,39,,,39,20,20,,0,20,21,21,,3,18,90,39,51,,90,6,6,,,6,418,418,,418,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,606,559,47,461,145,3,3,,0,3,5,5,,5,0,2,2,,0,2,0,0,,0,0,17,17,,,17,3,3,,0,3,9,9,,,9,62,62,,43,19,14,14,,2,12,59,12,47,,59,21,21,,,21,411,411,,411,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,14,13,1,7,7,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,1,1,,,1,3,3,,0,3,0,0,,,0,0,0,,0,0,0,0,,0,0,3,2,1,,3,0,0,,,0,7,7,,7,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,1,0,1,0,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,1,0,1,,1,0,0,,,0,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,1,0,1,0,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,1,0,1,,1,0,0,,,0,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,8,8,0,0,8,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,8,8,0,,8,0,0,,,0,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,36062,15367,20695,2927,33135,1475,1475,,581,894,672,672,,255,417,617,617,,304,313,500,500,,40,460,846,846,,,846,689,689,,68,621,616,616,,,616,1372,1372,,584,788,1249,1249,,82,1167,25959,5264,20695,,25959,1054,1054,,,1054,1013,1013,,1013,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,1883,1730,153,323,1560,85,85,,26,59,39,39,,28,11,23,23,,20,3,18,18,,5,13,62,62,,,62,73,73,,14,59,41,41,,,41,195,195,,165,30,51,51,,31,20,1182,1029,153,,1182,80,80,,,80,34,34,,34,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,34690,13995,20695,2921,31769,1474,1474,,581,893,668,668,,253,415,611,611,,304,307,499,499,,40,459,821,821,,,821,695,695,,77,618,621,621,,,621,1371,1371,,584,787,1167,1167,,91,1076,24709,4014,20695,,24709,1063,1063,,,1063,991,991,,991,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,756,756,0,297,459,187,187,,187,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,63,63,,,63,0,0,,0,0,3,3,,,3,77,77,,77,0,3,3,,3,0,385,385,0,,385,8,8,,,8,30,30,,30,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,283,283,0,97,186,0,0,,0,,4,4,,4,0,0,0,,0,,1,1,,1,0,36,36,,,36,0,0,,0,,0,0,,,0,92,92,,92,0,0,0,,0,,150,150,0,,150,0,0,,,0,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,11,11,0,8,3,2,2,,0,2,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,1,1,,,1,8,8,,8,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,18959,6543,12416,1712,17247,1173,1173,,429,744,301,301,,51,250,159,159,,34,125,408,408,,31,377,357,357,,,357,390,390,,28,362,571,571,,,571,563,563,,302,261,749,749,,7,742,12713,297,12416,,12713,745,745,,,745,830,830,,830,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,9062,7553,1509,1573,7489,449,449,,334,115,666,666,,437,229,169,169,,0,169,276,276,,41,235,396,396,,,396,439,439,,78,361,678,678,,,678,823,823,,162,661,785,785,,17,768,2968,1459,1509,,2968,909,909,,,909,504,504,,504,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,7129,5618,1511,1066,6063,290,290,,244,46,550,550,,437,113,133,133,,0,133,120,120,,41,79,352,352,,,352,306,306,,78,228,432,432,,,432,772,772,,130,642,486,486,,7,479,2905,1394,1511,,2905,654,654,,,654,129,129,,129,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,1621,1557,64,968,653,47,47,,42,5,102,102,,41,61,12,12,,0,12,52,52,,0,52,56,56,,,56,851,851,,809,42,77,77,,,77,283,283,,73,210,32,32,,3,29,94,30,64,,94,15,15,,,15,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,1733,1674,59,936,797,78,78,,34,44,155,155,,62,93,10,10,,0,10,54,54,,0,54,57,57,,,57,843,843,,774,69,90,90,,,90,273,273,,49,224,44,44,,17,27,79,20,59,,79,50,50,,,50,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,831,761,70,260,571,44,44,,42,2,66,66,,22,44,12,12,,0,12,39,39,,0,39,39,39,,,39,162,162,,120,42,79,79,,,79,267,267,,73,194,19,19,,3,16,100,30,70,,100,4,4,,,4,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,966,901,65,294,672,55,55,,34,21,93,93,,30,63,10,10,,0,10,31,31,,0,31,35,35,,,35,236,236,,167,69,92,92,,,92,252,252,,49,203,29,29,,14,15,85,20,65,,85,48,48,,,48,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,8,7,1,1,7,0,0,,0,0,3,3,,1,2,1,1,,0,1,0,0,,0,0,3,3,,,3,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,1,0,1,,1,0,0,,,0,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,4392,3839,553,1227,3165,0,0,,0,0,515,515,,387,128,523,523,,0,523,358,358,,0,358,28,28,,,28,168,168,,0,168,338,338,,,338,325,325,,0,325,532,532,,297,235,824,271,553,,824,238,238,,,238,543,543,,543,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,5841,4176,1665,862,4979,1077,1077,,0,1077,137,137,,0,137,57,57,,3,54,115,115,,30,85,460,460,,,460,246,246,,35,211,271,271,,,271,565,565,,269,296,138,138,,0,138,1790,125,1665,,1790,460,460,,,460,525,525,,525,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,894,468,426,434,460,0,0,,0,0,19,19,,0,19,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,15,15,,0,15,426,0,426,,426,0,0,,,0,434,434,,434,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,91,90,1,88,3,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,2,2,,0,2,0,0,,0,0,1,0,1,,1,0,0,,,0,88,88,,88,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,6672,6488,184,952,5720,779,779,,74,705,585,585,,11,574,647,647,,157,490,579,579,,11,568,726,726,,,726,314,314,,3,311,380,380,,,380,717,717,,42,675,458,458,,39,419,429,245,184,,429,443,443,,,443,615,615,,615,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,1029,1021,8,368,661,86,86,,58,28,136,136,,20,116,135,135,,114,21,23,23,,0,23,90,90,,,90,89,89,,0,89,74,74,,,74,188,188,,151,37,102,102,,13,89,42,34,8,,42,52,52,,,52,12,12,,12,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,28,28,0,7,21,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,8,8,,0,8,0,0,,,0,11,11,,3,8,3,3,,0,3,0,0,0,,0,2,2,,,2,4,4,,4,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,1720,1704,16,88,1632,50,50,,5,45,283,283,,14,269,93,93,,13,80,65,65,,1,64,448,448,,,448,36,36,,0,36,229,229,,,229,163,163,,5,158,43,43,,1,42,107,91,16,,107,154,154,,,154,49,49,,49,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,257,240,17,4,253,7,7,,0,7,24,24,,0,24,4,4,,0,4,18,18,,2,16,130,130,,,130,7,7,,0,7,8,8,,,8,1,1,,0,1,17,17,,0,17,19,2,17,,19,20,20,,,20,2,2,,2,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,0,0,,,0,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,0,0,,,0,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,0,0,,,0,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,0,0,,,0,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,71822,71806,16,19415,52407,5183,5183,,394,4789,5447,5447,,395,5052,3935,3935,,17,3918,5551,5551,,43,5508,8594,8594,,,8594,2823,2823,,0,2823,5047,5047,,,5047,6147,6147,,346,5801,4594,4594,,0,4594,2047,2031,16,,2047,4234,4234,,,4234,18220,18220,,18220,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,159802,159802,0,62377,97425,9779,9779,,3360,6419,7796,7796,,2608,5188,3777,3777,,1615,2162,9394,9394,,70,9324,32781,32781,,,32781,2358,2358,,0,2358,9212,9212,,,9212,20328,20328,,5560,14768,5963,5963,,2670,3293,4465,4465,0,,4465,7455,7455,,,7455,46494,46494,,46494,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,1699,1699,0,644,1055,68,68,,0,68,4,4,,0,4,26,26,,6,20,0,0,,0,0,63,63,,,63,43,43,,0,43,33,33,,,33,93,93,,0,93,634,634,,570,64,225,225,0,,225,442,442,,,442,68,68,,68,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,710,701,9,37,673,83,83,,0,83,47,47,,0,47,21,21,,21,0,13,13,,0,13,131,131,,,131,0,0,,0,0,56,56,,,56,67,67,,0,67,9,9,,0,9,31,22,9,,31,236,236,,,236,16,16,,16,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,18248,17486,762,535,17713,766,766,,71,695,1843,1843,,66,1777,1386,1386,,59,1327,2438,2438,,0,2438,3301,3301,,,3301,863,863,,0,863,1868,1868,,,1868,1594,1594,,0,1594,1429,1429,,244,1185,1544,782,762,,1544,1121,1121,,,1121,95,95,,95,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,0,0,,,0,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,1,1,0,0,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,1,1,,0,1,0,0,,0,0,0,0,0,,0,0,0,,,0,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,0,0,,,0,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.17.4,Failures following female sterilization,TOTAL,3,3,0,0,3,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,1,1,,0,1,0,0,,0,0,1,1,0,,1,1,1,,,1,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.17.5,Deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,0,0,,,0,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M8 [Family Planning],8.17.6,Deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,0,0,,,0,0,0,,0,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M9 [CHILD IMMUNISATION],9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,6876,6244,632,2158,4718,955,955,,485,470,362,362,,215,147,290,290,,160,130,228,228,,19,209,429,429,,,429,385,385,,67,318,265,265,,,265,859,859,,583,276,372,372,,0,372,1600,968,632,0,1600,502,502,,,502,629,629,,629,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M9 [CHILD IMMUNISATION],9.1.2,Child immunisation - BCG,TOTAL,37062,37062,0,10675,26387,3804,3804,,1016,2788,3275,3275,,943,2332,1968,1968,,362,1606,2476,2476,,53,2423,3498,3498,,,3498,1900,1900,,264,1636,2308,2308,,,2308,3720,3720,,766,2954,2497,2497,,191,2306,2146,2146,0,1,2145,2391,2391,,,2391,7079,7079,,7079,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M9 [CHILD IMMUNISATION],9.1.3,Child immunisation - DPT1,TOTAL,50,50,0,12,38,0,0,,0,0,5,5,,0,5,0,0,,0,0,0,0,,0,0,0,0,,,0,12,12,,0,12,3,3,,,3,18,18,,0,18,0,0,,0,0,0,0,0,0,0,0,0,,,0,12,12,,12,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M9 [CHILD IMMUNISATION],9.1.4,Child immunisation - DPT2,TOTAL,8,8,0,5,3,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,1,1,,,1,2,2,,0,2,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,5,5,,5,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M9 [CHILD IMMUNISATION],9.1.5,Child immunisation - DPT3,TOTAL,44,44,0,26,18,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,18,18,,,18,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,26,26,,26,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M9 [CHILD IMMUNISATION],9.1.6,Child immunisation - Pentavalent 1,TOTAL,38914,38686,228,12220,26694,3536,3536,,900,2636,3217,3217,,934,2283,2043,2043,,254,1789,2673,2673,,108,2565,4337,4337,,,4337,1772,1772,,186,1586,2335,2335,,,2335,3636,3636,,636,3000,2756,2756,,215,2541,1302,1074,228,2,1300,2322,2322,,,2322,8985,8985,,8985,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M9 [CHILD IMMUNISATION],9.1.7,Child immunisation - Pentavalent 2,TOTAL,38017,37808,209,11618,26399,3397,3397,,844,2553,3108,3108,,886,2222,2091,2091,,257,1834,2716,2716,,120,2596,4257,4257,,,4257,1710,1710,,176,1534,2332,2332,,,2332,3537,3537,,511,3026,2734,2734,,214,2520,1199,990,209,12,1187,2338,2338,,,2338,8598,8598,,8598,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M9 [CHILD IMMUNISATION],9.1.8,Child immunisation - Pentavalent 3,TOTAL,38516,38304,212,11273,27243,3444,3444,,814,2630,3252,3252,,893,2359,2240,2240,,248,1992,2873,2873,,115,2758,4353,4353,,,4353,1661,1661,,168,1493,2405,2405,,,2405,3638,3638,,523,3115,2767,2767,,225,2542,1198,986,212,8,1190,2406,2406,,,2406,8279,8279,,8279,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M9 [CHILD IMMUNISATION],9.1.9,Child immunisation - OPV 0 (Birth Dose),TOTAL,26449,26449,0,7642,18807,1943,1943,,580,1363,2054,2054,,254,1800,1356,1356,,304,1052,2374,2374,,42,2332,2366,2366,,,2366,1262,1262,,121,1141,1855,1855,,,1855,2337,2337,,583,1754,1326,1326,,92,1234,1911,1911,0,0,1911,1999,1999,,,1999,5666,5666,,5666,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M9 [CHILD IMMUNISATION],9.1.10,Child immunisation - OPV1,TOTAL,38854,38660,194,12241,26613,3536,3536,,900,2636,3203,3203,,934,2269,2061,2061,,254,1807,2673,2673,,108,2565,4266,4266,,,4266,1787,1787,,186,1601,2313,2313,,,2313,3633,3633,,636,2997,2754,2754,,215,2539,1259,1065,194,2,1257,2363,2363,,,2363,9006,9006,,9006,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M9 [CHILD IMMUNISATION],9.1.11,Child immunisation - OPV2,TOTAL,37874,37695,179,11614,26260,3397,3397,,844,2553,3115,3115,,886,2229,2099,2099,,257,1842,2716,2716,,120,2596,4172,4172,,,4172,1709,1709,,176,1533,2309,2309,,,2309,3526,3526,,511,3015,2719,2719,,214,2505,1165,986,179,12,1153,2353,2353,,,2353,8594,8594,,8594,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M9 [CHILD IMMUNISATION],9.1.12,Child immunisation - OPV3,TOTAL,38152,37971,181,11250,26902,3444,3444,,814,2630,3257,3257,,893,2364,2235,2235,,248,1987,2873,2873,,115,2758,4204,4204,,,4204,1658,1658,,168,1490,2370,2370,,,2370,3595,3595,,523,3072,2754,2754,,225,2529,1155,974,181,8,1147,2351,2351,,,2351,8256,8256,,8256,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M9 [CHILD IMMUNISATION],9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,9723,9624,99,4833,4890,832,832,,580,252,553,553,,254,299,414,414,,301,113,210,210,,42,168,859,859,,,859,352,352,,121,231,416,416,,,416,992,992,,583,409,394,394,,85,309,1119,1020,99,0,1119,715,715,,,715,2867,2867,,2867,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
M9 [CHILD IMMUNISATION],9.1.14,Child immunisation - Hepatitis-B1,TOTAL,15,15,0,1,14,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,14,14,,,14,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,1,1,,1,,Sep,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Sep.csv
